"","Gene","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"RAD51C","RAD51C",0.23521297474994,14.7015174501647,1.86752773034268,0.0696028812348267,0.166608310234955,-5.19134695391755
"MTRF1L","MTRF1L",0.233078458650267,15.1843361687387,1.86674870433262,0.0697144012628737,0.166826131252841,-5.19269854778319
"IFNG","IFNG",-0.19379227597916,21.4370161088139,-1.86643331684884,0.0697595933372571,0.16688514839275,-5.19324560551508
"ZSCAN5A","ZSCAN5A",-0.401875143234465,15.0391915788262,-1.86623339470037,0.0697882532595861,0.166904592747036,-5.19359234228875
"DOLPP1","DOLPP1",-0.225139356799566,15.6711279520583,-1.86567784004615,0.0698679478085348,0.167046043451641,-5.19455571176929
"FAM213A","FAM213A",0.164461717055016,15.9186112629892,1.86504575621836,0.0699587149614452,0.167213876483854,-5.1956514987353
"ERAP1","ERAP1",0.145039055521165,15.9208032495688,1.86482635042095,0.069990245127445,0.167223385281952,-5.19603179085547
"SPATA13","SPATA13",0.299703107312059,12.8901184007712,1.86461007875074,0.0700213367666281,0.167223385281952,-5.1964066143287
"CPSF3","CPSF3",0.124642618211119,16.3925240230099,1.86458872768732,0.0700244068765856,0.167223385281952,-5.19644361620123
"POP5","POP5",-0.367770900278989,15.5486084111281,-1.8644098950177,0.0700501260771249,0.167235675442275,-5.19675352343419
"AFDN","AFDN",0.152687619807633,15.2554404581456,1.86414791562202,0.0700878177567206,0.167276532749378,-5.19720747487351
"EMC6","EMC6",-0.155966424072584,16.1153047660973,-1.86374929906185,0.0701452009946313,0.167364349540757,-5.19789808629859
"KRR1","KRR1",-0.211160229262433,16.4546997846176,-1.86212098290668,0.0703800234138073,0.167875355144026,-5.2007179048855
"RABGEF1","RABGEF1",-0.1318205523981,15.290257664691,-1.86179174280693,0.0704275851538727,0.167939524703969,-5.2012878142034
"LAMB1","LAMB1",0.123732949220695,17.7294739387062,1.86038774343046,0.0706307135932231,0.16837450756578,-5.20371717558613
"ALDOB","ALDOB",0.102663479975295,17.7022526973104,1.86002866796226,0.0706827442470363,0.168413121016839,-5.2043382449823
"EZH1","EZH1",0.141101628169306,15.3642054506644,1.85986075268919,0.0707070866754033,0.168413121016839,-5.20462864291087
"HERPUD1","HERPUD1",0.131533386235546,16.713855042607,1.85972778648277,0.0707263676617034,0.168413121016839,-5.20485858338587
