"","Gene","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"MAGEA1","MAGEA1",0.524419253732056,14.6514233875832,5.14250558435559,8.62766671739595e-06,0.00191893028113693,3.54812457122357
"FHL2","FHL2",-0.493116637373097,16.1509968765557,-5.13858028748065,8.73421335983104e-06,0.00191893028113693,3.53666189655416
"MYH9","MYH9",-0.257573476884506,20.3408448600966,-5.11509113500286,9.39964547832136e-06,0.00201078205508617,3.46809247242274
"SLC9A3R2","SLC9A3R2",-0.329386668309777,16.4346610107889,-5.10215924676319,9.78722905490961e-06,0.00204000987147077,3.43035953913133
"FCRLA","FCRLA",-0.520563764908237,15.2964149194325,-5.04140092014192,1.18313277153109e-05,0.00240442157494405,3.25325617171874
"TOP1","TOP1",0.229454146706857,19.7868896608669,5.02684452719771,1.23808237354954e-05,0.00245472478404493,3.21087187347608
"SLCO4A1","SLCO4A1",0.373337508974343,15.9262369604807,4.9527198348621,1.55964791702262e-05,0.00301866140892307,2.99533800862111
"ATP1B1","ATP1B1",-0.464455619596901,16.94614284635,-4.9354867410467,1.64554250432602e-05,0.00311084070178283,2.94530403256558
"SIPA1L1","SIPA1L1",-0.291561353737018,15.626785406473,-4.9143349940522,1.7573944957449e-05,0.00324678633088871,2.88393359850469
"ANKRD42","ANKRD42",0.37346437430341,15.098753721451,4.89692069103408,1.85510650907896e-05,0.00329535367432985,2.83344177277861
"GNA13","GNA13",-0.436751406452199,15.8694370130684,-4.8952499473403,1.86475912189904e-05,0.00329535367432985,2.82859921797157
"HLA-DRB5","HLA-DRB5",-0.530627987153093,17.3171563362884,-4.87385392801486,1.99285637550947e-05,0.00344679350564181,2.76661049742038
"SYNM","SYNM",-0.300451923163461,16.7971266528818,-4.81866873260797,2.36483247105994e-05,0.0040049423244263,2.60696165732259
"CD63","CD63",-0.508814021072297,18.318168342858,-4.75178766762925,2.90859398397853e-05,0.00479608313473484,2.41395801268877
