"","logFC","AveExpr","t","P.Value","adj.P.Val","B","genes","group","Pos_neg"
"ENSG00000178761",-0.08068746,3.435271,-0.7909269,0.4384467,0.503523,-7.55279,"FAM219B","Not_significant",NA
"ENSG00000172331",-0.08569643,3.74169,-0.9024468,0.3777694,0.4426174,-7.553319,"BPGM","Not_significant",NA
"ENSG00000010626",0.05427389,2.780424,0.4598543,0.6506776,0.7027267,-7.553456,"LRRC23","Not_significant",NA
"ENSG00000143390",-0.06776807,6.835812,-1.502938,0.148786,0.1954029,-7.55488,"RFX5","Not_significant",NA
"ENSG00000246067",0.05897817,2.674659,0.3750659,0.7116366,0.7568083,-7.555261,"RAB30-AS1","Not_significant",NA
"ENSG00000113391",-0.09880712,4.342351,-1.078474,0.2939077,0.3563967,-7.55646,"FAM172A","Not_significant",NA
"ENSG00000122687",-0.08857823,5.594109,-1.341447,0.1951024,0.2487039,-7.557138,"MRM2","Not_significant",NA
"ENSG00000114346",-0.07277699,6.957023,-1.51344,0.146116,0.1923066,-7.55725,"ECT2","Not_significant",NA
"ENSG00000105085",-0.0841138,3.710647,-0.8853232,0.3867079,0.4516257,-7.559186,"MED26","Not_significant",NA
"ENSG00000197223",-0.07534771,3.709045,-0.8845018,0.3871401,0.4520987,-7.559484,"C1D","Not_significant",NA
"ENSG00000099949",0.07482057,5.538248,1.330369,0.1986593,0.252676,-7.55949,"LZTR1","Not_significant",NA
"ENSG00000198554",0.08086509,4.938183,1.217856,0.2377276,0.2959132,-7.559878,"WDHD1","Not_significant",NA
"ENSG00000128524",0.07409547,6.189737,1.424973,0.1698844,0.2201715,-7.560142,"ATP6V1F","Not_significant",NA
"ENSG00000268043",0.05197845,2.695358,0.3791021,0.708685,0.754152,-7.560565,"NBPF12","Not_significant",NA
"ENSG00000113212",-0.0706416,3.159172,-0.6605047,0.5166132,0.5793145,-7.561169,"PCDHB7","Not_significant",NA
"ENSG00000276291",0.04425315,2.661717,0.3447385,0.7339601,0.7761782,-7.562426,NA,"Not_significant",NA
"ENSG00000135835",0.009282766,2.481011,0.06540186,0.9485161,0.9589596,-7.562516,"KIAA1614","Not_significant",NA
"ENSG00000177337",0.05438322,2.801337,0.4548541,0.6542087,0.7056755,-7.562771,"DLGAP1-AS1","Not_significant",NA
"ENSG00000186063",0.07881536,3.819332,0.9174065,0.3700736,0.4353421,-7.563096,"AIDA","Not_significant",NA
"ENSG00000157349",-0.07359809,3.327828,-0.7331427,0.4721438,0.5358529,-7.563444,"DDX19B","Not_significant",NA
"ENSG00000142252",-0.0747718,3.382083,-0.7556968,0.4588113,0.5228279,-7.563653,"GEMIN7","Not_significant",NA
"ENSG00000145220",-0.06410604,7.279551,-1.538684,0.1398594,0.1851424,-7.56451,"LYAR","Not_significant",NA
"ENSG00000178607",-0.0747915,3.180395,-0.6655296,0.5134632,0.5760992,-7.564615,"ERN1","Not_significant",NA
"ENSG00000163961",-0.0826859,4.21412,-1.0352,0.3131713,0.376286,-7.564881,"RNF168","Not_significant",NA
"ENSG00000161921",0.01822087,2.512191,0.1373534,0.8921517,0.9125776,-7.565245,"CXCL16","Not_significant",NA
"ENSG00000185414",-0.07596775,5.179573,-1.260929,0.2221279,0.2789186,-7.566431,"MRPL30","Not_significant",NA
"ENSG00000117394",0.06576828,9.023122,1.672849,0.1102334,0.1498963,-7.567316,"SLC2A1","Not_significant",NA
"ENSG00000158062",-0.08563177,4.15677,-1.015661,0.3221567,0.3855025,-7.568079,"UBXN11","Not_significant",NA
"ENSG00000117298",-0.0661408,7.255102,-1.533052,0.1412355,0.1866518,-7.569415,"ECE1","Not_significant",NA
"ENSG00000262580",0.07033019,3.24108,0.686551,0.5004027,0.5634616,-7.569433,NA,"Not_significant",NA
"ENSG00000040531",0.08282697,4.713645,1.159596,0.2601358,0.3203272,-7.56982,"CTNS","Not_significant",NA
"ENSG00000140044",-0.05567235,2.875891,-0.4890917,0.6302014,0.6843481,-7.570752,"JDP2","Not_significant",NA
"ENSG00000154642",-0.08751022,3.57415,-0.8225201,0.4206688,0.4860958,-7.570944,"C21orf91","Not_significant",NA
"ENSG00000177192",-0.0892361,5.754962,-1.355514,0.1906588,0.2437313,-7.571619,"PUS1","Not_significant",NA
"ENSG00000243646",0.07698245,3.480177,0.7850795,0.4417876,0.5064498,-7.571678,"IL10RB","Not_significant",NA
"ENSG00000137269",-0.05589223,2.868982,-0.4823683,0.6348838,0.6883085,-7.571873,"LRRC1","Not_significant",NA
"ENSG00000197182",0.0553598,2.929057,0.518999,0.6095684,0.6654642,-7.572304,"MIRLET7BHG","Not_significant",NA
"ENSG00000182986",-0.08206289,4.64702,-1.141707,0.2673236,0.3280601,-7.57231,"ZNF320","Not_significant",NA
"ENSG00000256053",0.06706506,3.081933,0.6041482,0.5526699,0.6129303,-7.572674,"APOPT1","Not_significant",NA
"ENSG00000167815",0.08112868,7.135215,1.519479,0.1445987,0.1905387,-7.572965,"PRDX2","Not_significant",NA
"ENSG00000217130",-0.08941042,3.205615,-0.6612695,0.5161331,0.5788995,-7.575544,NA,"Not_significant",NA
"ENSG00000146281",0.07567817,5.619127,1.330438,0.1986371,0.2526671,-7.576394,"PM20D2","Not_significant",NA
"ENSG00000145982",-0.05972518,2.940088,-0.5180925,0.610189,0.666098,-7.576453,"FARS2","Not_significant",NA
"ENSG00000223496",0.0700969,5.478577,1.306607,0.2064607,0.2615379,-7.57692,"EXOSC6","Not_significant",NA
"ENSG00000162300",0.03075218,2.610859,0.2402017,0.8126666,0.8447382,-7.577468,"ZFPL1","Not_significant",NA
"ENSG00000123975",0.0833246,6.62708,1.461534,0.1597063,0.2084106,-7.581411,"CKS2","Not_significant",NA
"ENSG00000135736",0.08014962,4.355337,1.058228,0.3028113,0.3653785,-7.581626,"CCDC102A","Not_significant",NA
"ENSG00000048544",0.07493905,4.762141,1.160232,0.2598831,0.3200398,-7.581913,"MRPS10","Not_significant",NA
"ENSG00000145375",-0.07225765,3.802787,-0.8908759,0.3837943,0.448759,-7.582348,"SPATA5","Not_significant",NA
"ENSG00000177045",0.07329169,3.473126,0.7687119,0.4512222,0.5155939,-7.582385,"SIX5","Not_significant",NA
"ENSG00000137501",0.09766305,5.131738,1.237799,0.2304038,0.2881565,-7.583109,"SYTL2","Not_significant",NA
"ENSG00000228589",-0.04583507,2.758859,-0.3746133,0.7119679,0.75687,-7.583377,NA,"Not_significant",NA
"ENSG00000182010",0.07111959,3.45025,0.7578411,0.4575557,0.5215758,-7.583564,"RTKN2","Not_significant",NA
"ENSG00000166938",-0.08003918,5.400393,-1.286835,0.2131331,0.2689449,-7.584688,"DIS3L","Not_significant",NA
"ENSG00000105136",-0.0460328,2.773419,-0.3834428,0.7055162,0.7515015,-7.584706,"ZNF419","Not_significant",NA
"ENSG00000100650",-0.06081064,7.223669,-1.519203,0.1446676,0.1905965,-7.585151,"SRSF5","Not_significant",NA
"ENSG00000120709",0.06391285,6.366667,1.428499,0.1688806,0.2191268,-7.58531,"FAM53C","Not_significant",NA
"ENSG00000130764",-0.06902137,6.505251,-1.444849,0.164288,0.2137518,-7.585442,"LRRC47","Not_significant",NA
"ENSG00000223960",-0.05659128,2.909234,-0.4812137,0.6356895,0.6889124,-7.585508,"PRKRA-AS1","Not_significant",NA
"ENSG00000082146",-0.06443993,3.163914,-0.6255813,0.5388015,0.5997107,-7.585805,"STRADB","Not_significant",NA
"ENSG00000253341",-0.06394351,3.116236,-0.6009569,0.5547509,0.6148279,-7.585838,NA,"Not_significant",NA
"ENSG00000111725",-0.07110309,5.486402,-1.300446,0.208522,0.2638674,-7.58641,"PRKAB1","Not_significant",NA
"ENSG00000117155",0.07227082,5.071563,1.222828,0.2358855,0.2939724,-7.586752,"SSX2IP","Not_significant",NA
"ENSG00000148444",0.01275525,2.564176,0.08933084,0.9297249,0.9442385,-7.588085,"COMMD3","Not_significant",NA
"ENSG00000096093",0.07364727,4.215007,1.012398,0.3236752,0.387067,-7.588273,"EFHC1","Not_significant",NA
"ENSG00000165240",-0.07827303,3.699798,-0.8482314,0.4065424,0.471839,-7.58839,"ATP7A","Not_significant",NA
"ENSG00000124383",-0.07626397,6.428995,-1.433601,0.1674364,0.2174566,-7.588587,"MPHOSPH10","Not_significant",NA
"ENSG00000196236",-0.07458016,4.063435,-0.9670685,0.3452842,0.4095213,-7.589008,"XPNPEP3","Not_significant",NA
"ENSG00000071189",-0.07664278,5.400028,-1.282367,0.2146638,0.270753,-7.590173,"SNX13","Not_significant",NA
"ENSG00000119760",-0.06693816,6.212162,-1.405491,0.1755183,0.2267657,-7.590333,"SUPT7L","Not_significant",NA
"ENSG00000189343",-0.07770112,6.627942,-1.454757,0.1615547,0.2105583,-7.591031,NA,"Not_significant",NA
"ENSG00000112210",-0.07140535,3.478082,-0.7591062,0.4568159,0.5208397,-7.591548,"RAB23","Not_significant",NA
"ENSG00000217950",-0.05508211,2.909272,-0.467743,0.6451238,0.6977716,-7.59215,"NOC2LP2","Not_significant",NA
"ENSG00000100711",0.07718962,3.84502,0.894026,0.3821478,0.4472429,-7.592243,"ZFYVE21","Not_significant",NA
"ENSG00000213939",0.008594982,2.570768,0.06419858,0.9494619,0.9596103,-7.592283,NA,"Not_significant",NA
"ENSG00000244485",0.04912011,2.817198,0.398526,0.6945477,0.7418627,-7.59304,NA,"Not_significant",NA
"ENSG00000106615",0.06823191,6.199787,1.399842,0.1771797,0.2286101,-7.595731,"RHEB","Not_significant",NA
"ENSG00000164808",0.0717982,5.342941,1.265618,0.2204783,0.2771403,-7.59807,"SPIDR","Not_significant",NA
"ENSG00000147601",-0.08668623,4.443719,-1.066501,0.29915,0.3617224,-7.598191,"TERF1","Not_significant",NA
"ENSG00000176386",0.03250455,2.669447,0.2348394,0.8167677,0.8483956,-7.598284,"CDC26","Not_significant",NA
"ENSG00000007541",-0.07915045,4.813423,-1.15728,0.2610583,0.3212965,-7.598742,"PIGQ","Not_significant",NA
"ENSG00000213178",0.07207258,3.573629,0.7875972,0.4403472,0.5050773,-7.599217,NA,"Not_significant",NA
"ENSG00000178982",0.06775956,7.717736,1.552924,0.136429,0.1810629,-7.59938,"EIF3K","Not_significant",NA
"ENSG00000273373",-0.06424904,3.230955,-0.6377723,0.5309979,0.5924565,-7.59949,NA,"Not_significant",NA
"ENSG00000253293",0.07089604,3.580663,0.7892578,0.4393988,0.5042526,-7.600126,"HOXA10","Not_significant",NA
"ENSG00000140455",0.08108584,4.99579,1.1957,0.2460703,0.3049731,-7.600348,"USP3","Not_significant",NA
"ENSG00000213799",0.05588902,2.920573,0.4549842,0.6541167,0.7056755,-7.601849,"ZNF845","Not_significant",NA
"ENSG00000136866",-0.01068918,2.606274,-0.07993263,0.9371008,0.9501931,-7.602848,"ZFP37","Not_significant",NA
"ENSG00000264350",-0.08220621,4.245425,-1.006747,0.3263161,0.3899463,-7.602932,NA,"Not_significant",NA
"ENSG00000112511",0.06957465,4.973676,1.188269,0.2489174,0.3081341,-7.60364,"PHF1","Not_significant",NA
"ENSG00000134698",0.0803724,3.66794,0.8168545,0.423823,0.4890945,-7.604833,"AGO4","Not_significant",NA
"ENSG00000012174",0.06528062,6.234931,1.397494,0.1778742,0.2294172,-7.604957,"MBTPS2","Not_significant",NA
"ENSG00000083099",-0.07217441,5.177451,-1.228047,0.2339632,0.2919709,-7.605774,"LYRM2","Not_significant",NA
"ENSG00000257511",0.07740819,3.722636,0.8348744,0.4138426,0.479341,-7.606572,NA,"Not_significant",NA
