"","Untreated__WT","Untreated__ARID1A_KO","Untreated__MED12_KO","Vermurafenib_1uM__WT","Vermurafenib_1uM__ARID1A_KO","Vermurafenib_1uM__MED12_KO","Trametinib_10nM__WT","Trametinib_10nM__ARID1A_KO","Trametinib_10nM__MED12_KO","vemurafenib_and_trametinib__WT","vemurafenib_and_trametinib__ARID1A_KO","vemurafenib_and_trametinib__MED12_KO","Untreated__WT.1","Untreated__ARID1A_KO.1","Untreated__MED12_KO.1","Vermurafenib_1uM__WT.1","Vermurafenib_1uM__ARID1A_KO.1","Vermurafenib_1uM__MED12_KO.1","Trametinib_10nM__WT.1","Trametinib_10nM__ARID1A_KO.1","Trametinib_10nM__MED12_KO.1","vemurafenib_and_trametinib__WT.1","vemurafenib_and_trametinib__ARID1A_KO.1","vemurafenib_and_trametinib__MED12_KO.1","Untreated__WT.2","Untreated__ARID1A_KO.2","Untreated__MED12_KO.2","Vermurafenib_1uM__WT.2","Vermurafenib_1uM__ARID1A_KO.2","Vermurafenib_1uM__MED12_KO.2","Trametinib_10nM__WT.2","Trametinib_10nM__ARID1A_KO.2","Trametinib_10nM__MED12_KO.2","vemurafenib_and_trametinib__WT.2","vemurafenib_and_trametinib__ARID1A_KO.2","vemurafenib_and_trametinib__MED12_KO.2"
"SP140L",-3.88179411073321,-4.0455703440889,-3.46923085657817,-3.70171719794781,-3.72297397696585,-3.32485764528584,-3.37576075084473,-3.49137621059147,-2.87271819129049,-3.3244946940841,-3.66492007062746,-3.1327275434081,-3.34403758349993,-3.76104397658235,-2.95774521464027,-3.34886346214943,-3.77529500363105,-2.93156621968322,-3.8892213946553,-3.6681710511118,-2.75935314343801,-3.4411569905993,-3.77533837827143,-3.02547224900263,-3.25792430560915,-3.68535169022746,-3.17972626302248,-2.99384917112563,-3.99221138086876,-2.64383383409543,-3.56254296564994,-3.76561696879436,-2.98320774905861,-3.59554761327273,-3.75975907336423,-2.87323306796695
"SP3",-0.708941509114109,-1.1268856917037,-0.376926890618006,-2.01521722464648,-1.25405315576614,-2.00840759864683,-2.03966419912033,-2.53646627190622,-2.04821298679039,-2.08978782975101,-2.65210979375075,-2.05637194170308,-0.468444386641451,-1.12582392708218,-0.440796917438373,-1.90702621318274,-2.50418119995237,-2.13795851155715,-1.89990455138294,-2.47132749535642,-2.01483091058158,-1.8598100582656,-2.41609116627903,-2.01596581041495,-0.478369312803762,-1.06764800313808,-0.412867058259611,-2.00187097507077,-2.32610933093448,-1.94409030926044,-1.97966571188439,-2.4570941240311,-2.00204121583782,-2.05795455136135,-2.41586448374515,-1.94387120250845
"SP4",2.28997725052938,2.23004149913306,2.27820839770964,2.59806208999351,2.42392419921685,2.64663502990946,2.60387363237752,2.6568074497465,2.61360209244499,2.63166489818527,2.69365137466229,2.71229898946378,2.07266280414524,2.14059916522999,2.38950832276678,2.55429764154585,2.55248543297867,2.62325860979017,2.54075565393529,2.65825120755739,2.45382075042765,2.74486128718052,2.67729156889908,2.72131203171718,2.38897693094782,2.25632339767481,2.42539814083835,2.73984601530851,2.57533158409596,2.66306978002276,2.58122478770147,2.60823487735951,2.63492820293872,2.67034014573727,2.67783996301614,2.63668855673059
"SP5",-2.61434669028581,-2.00404159819074,-2.58018714607854,-1.65527013153806,-1.73259820048454,-1.57950337619626,-1.58905909158291,-1.31383590981652,-1.53588094451858,-1.64642438483168,-1.157235259371,-1.48660583004422,-2.50096679216969,-2.11643402364328,-2.51888585264819,-1.52519203399961,-1.33823010891744,-1.68778361918703,-1.65357836404921,-1.27925078742517,-1.76937650225958,-1.61031850026089,-1.18447035501851,-1.58183550012633,-2.59262824875517,-2.06865516779877,-2.44476353073299,-1.46438868919583,-1.10046682919247,-1.53528826083551,-1.72175612631206,-1.23163208068351,-1.75235719540868,-1.49160481544215,-1.1935425022109,-1.52386142381646
"SP6",-1.25892717336431,-1.64852962904562,-1.00488944691813,-1.75781880868597,-1.59069818943852,-1.6467460829325,-1.68881600759791,-2.12132545078624,-1.64639610557097,-1.76390136549489,-2.04011859815246,-1.637586371624,-1.43263529099692,-1.74376710339275,-0.994646947901174,-1.831488635419,-2.16847618769685,-1.70807485805929,-1.80061267711049,-2.06721129137297,-1.68652460065017,-1.8008311777649,-2.12748573890787,-1.57298921452972,-1.29228763265269,-1.74125263262437,-0.965399797924793,-1.85228256576069,-2.17603857184924,-1.77922183258597,-1.82119686045383,-2.11793457657476,-1.55801676638133,-1.74018173394142,-2.05284294615215,-1.71720294986144
"SP8",1.21551805225547,1.40942082464078,1.45846416628657,1.3766597093479,1.39418461549094,1.42234099193728,1.36152348889764,1.39829357216828,1.46779549590315,1.46740702825096,1.48819736872345,1.49668180410612,1.24468085906529,1.34974257002492,1.43258125275535,1.29106445444631,1.31793428727178,1.43320772784798,1.30157527567054,1.33128597585188,1.37987167627174,1.44648332195089,1.30793693006883,1.50074056153095,1.25058372068097,1.35062640840353,1.47304057761444,1.39149963193307,1.34317900920834,1.31687266154115,1.23531086741971,1.2168708989732,1.46436956952576,1.40003610775163,1.38977083961516,1.43771252019107
"SPI1",-0.576567214082428,-0.546059010255047,-0.142033161299936,-1.58778442165382,-0.856418410423999,-1.03330260143482,-1.58392611064581,-1.46907455728627,-1.06056911158312,-1.52374833971539,-1.73440131597857,-1.0844909443297,-0.478991200108544,-0.571511982676159,-0.175802034664986,-1.40161370325713,-1.52357047963925,-1.10075434424369,-1.33267291556866,-1.46667622083294,-1.00075907054838,-1.54803523331036,-1.57599468997618,-1.06226815810957,-0.503055753631334,-0.577358096277454,-0.0774424203629109,-1.39040900037286,-1.41660646589126,-0.951053505802533,-1.39568223666134,-1.51149625529194,-1.09188701721227,-1.45685972236494,-1.79015038267727,-1.01772412735569
"SPIB",-1.91145743461851,-2.35075136849247,-1.99941455422457,-2.68829118693641,-2.46380549627205,-2.64816374086734,-2.83526850039479,-3.15116603405287,-2.71393929876574,-2.89095341997676,-2.99743530159654,-2.73218533593898,-2.04533726660136,-2.24924650054696,-1.8812104526684,-2.6643245799388,-3.04142282565441,-2.72932199777681,-2.50143811450048,-3.03590541117023,-2.71896595694428,-2.70923835888209,-3.08309927306755,-2.80422652510493,-1.99004359593448,-2.28080642682763,-1.84825340956163,-2.73470645577721,-2.88499296542639,-2.68227780463773,-2.4327286102412,-3.10753503060404,-2.58795326265072,-2.705636943039,-3.04927096450181,-2.88844842226799
"SPIC",-2.08018317873855,-1.90154880052263,-1.86014249706477,-1.80456434704839,-1.87303410849452,-1.50270941501732,-1.95120737092224,-1.73074932034162,-1.55806973026423,-1.89890196468067,-1.73148136773967,-1.59770664333032,-2.18458969612153,-1.80398740115518,-1.94501950676257,-1.9671309638561,-1.71381997299426,-1.51190929372915,-1.79885666145225,-1.47664456749301,-1.65763508252025,-1.80041446541152,-1.52251135405217,-1.54398683434793,-2.0905331787518,-1.8229911209946,-1.8523210293568,-1.97785645244785,-1.52357297513438,-1.50223917622997,-1.78220210277607,-1.53712480676912,-1.58346586488735,-1.82674272744668,-1.6098480953566,-1.58443575404006
"SRY",1.07597744250962,1.34302749855506,1.20076629111248,1.35764661493218,1.29176679528964,1.58317233326756,1.30943673711411,1.60772548025254,1.49188184142414,1.32060379314508,1.67438050205319,1.41568926237923,0.92510353743003,1.31719080073992,1.14099459891293,1.31298292900422,1.6793318505835,1.45380662948472,1.41800067631564,1.72377819107012,1.42169808217759,1.40839883801726,1.53408806501836,1.49403605502575,1.05084150379207,1.42298644498727,1.14524120019702,1.40934979651796,1.65282661417374,1.4145626185754,1.44529522786632,1.66517532304181,1.40846409795394,1.30848409849331,1.59781316249484,1.43089690417408
