"","Untreated__WT","Untreated__WT.1","Untreated__WT.2","Untreated__ARID1A_KO","Untreated__ARID1A_KO.1","Untreated__ARID1A_KO.2","Untreated__MED12_KO","Untreated__MED12_KO.1","Untreated__MED12_KO.2","Vermurafenib_1uM__WT","Vermurafenib_1uM__WT.1","Vermurafenib_1uM__WT.2","Vermurafenib_1uM__ARID1A_KO","Vermurafenib_1uM__ARID1A_KO.1","Vermurafenib_1uM__ARID1A_KO.2","Vermurafenib_1uM__MED12_KO","Vermurafenib_1uM__MED12_KO.1","Vermurafenib_1uM__MED12_KO.2","Trametinib_10nM__WT","Trametinib_10nM__WT.1","Trametinib_10nM__WT.2","Trametinib_10nM__ARID1A_KO","Trametinib_10nM__ARID1A_KO.1","Trametinib_10nM__ARID1A_KO.2","Trametinib_10nM__MED12_KO","Trametinib_10nM__MED12_KO.1","Trametinib_10nM__MED12_KO.2","vemurafenib_and_trametinib__WT","vemurafenib_and_trametinib__WT.1","vemurafenib_and_trametinib__WT.2","vemurafenib_and_trametinib__ARID1A_KO","vemurafenib_and_trametinib__ARID1A_KO.1","vemurafenib_and_trametinib__ARID1A_KO.2","vemurafenib_and_trametinib__MED12_KO","vemurafenib_and_trametinib__MED12_KO.1","vemurafenib_and_trametinib__MED12_KO.2","vemurafenib_and_trametinib__WT.3","Vermurafenib_1uM__WT.3","Trametinib_10nM__WT.3","vemurafenib_and_trametinib__ARID1A_KO.3","Vermurafenib_1uM__ARID1A_KO.3","Trametinib_10nM__ARID1A_KO.3","vemurafenib_and_trametinib__MED12_KO.3","Vermurafenib_1uM__MED12_KO.3","Trametinib_10nM__MED12_KO.3","Untreated__WT.3","Vermurafenib_1uM__WT.4","Trametinib_10nM__WT.4","Untreated__ARID1A_KO.3","Vermurafenib_1uM__ARID1A_KO.4","Trametinib_10nM__ARID1A_KO.4","Untreated__MED12_KO.3","Vermurafenib_1uM__MED12_KO.4","Trametinib_10nM__MED12_KO.4","Untreated__WT.4","Vermurafenib_1uM__WT.5","Trametinib_10nM__WT.5","Untreated__ARID1A_KO.4","Vermurafenib_1uM__ARID1A_KO.5","Trametinib_10nM__ARID1A_KO.5","Untreated__MED12_KO.4","Vermurafenib_1uM__MED12_KO.5","Trametinib_10nM__MED12_KO.5"
"CHUK",-0.733871133662669,-0.822477047610509,-0.257182930509273,-0.6249657712435,-0.0880352337078316,-0.543383128264997,0.0473277987166278,-0.77445136771934,-0.287095346186357,0.42521037130931,0.164929121255377,0.327575341873109,0.427014681126037,0.375817815776087,0.0569170342737277,0.508899102416225,0.355789898590529,0.45725755745353,0.0965728191346375,0.00706657094364848,0.92562685621854,-0.147540704027806,0.542649490985081,-0.0545823342292607,0.51793551004861,0.60865159426761,-0.139001039356918,-0.850870289559093,0.1850895829557,-0.142022881092967,-0.119299478934773,-0.084372753542867,0.48224794429899,-0.0302592239148041,-0.00872641360808374,-0.0846662193433521,-0.366774670290263,0.534013466579634,0.567634034158343,0.0365837595957107,0.426092703676994,0.455892921055284,0.221989271093606,0.515878422191466,0.0229143825675754,-0.892374757471223,0.249034749518906,0.278759612808009,-0.639641871650628,0.376602916530755,0.753338255224099,-0.0837426981890369,-0.280844510051405,0.313874245682801,0.0426127143170372,0.607552615610331,0.443753355623241,-0.29881677286304,0.0252230782918172,-0.531487799135236,-0.0167480192176482,-0.0709454101993911,0.927519807757752
"CSNK1A1",0.205849437697233,-1.13008456063218,-0.276457835570435,0.0341242823646741,-0.603817808564721,0.159472734390985,-0.161177729608324,-0.221914573384959,-0.233926073845312,0.42521037130931,-0.0686645559607588,0.270835405166947,0.237347694671517,-0.0402409999370744,0.024104264441565,0.508899102416225,-0.0144320267755049,0.375068419632218,0.666582617585649,0.203543615419569,0.440261629920744,0.135888952002831,0.577693768822512,0.249784268098757,-0.17599867220273,0.571854170613781,0.00736755242694065,-0.888801200091242,-0.0453285819731704,-1.4222702972769,-0.265634854740203,-0.084372753542867,-0.642130166770699,-0.766323586456392,0.199807561972861,-0.669900717267797,-0.603620933949386,0.363694983780371,0.458825638445214,-0.0320550916901178,0.5268674167993,0.038299330120052,-0.36254298780457,0.359816911407699,-0.300708129891063,-0.480790623525079,0.191128554724405,0.113619066600251,-0.273518085678836,0.24151406781441,0.345662760328118,0.386295436887413,-0.43366740666384,0.565853731342672,0.229287638722966,0.516183055324003,0.294244509601572,0.0131772936884488,0.0252230782918172,0.258458801041997,0.12508539017821,-0.457930524208228,0.188152674372754
"CSNK1D",0.207085183885892,0.0915936163475221,0.199133448767782,0.0748361526946469,0.310493768112789,0.104332532935537,0.393963444618869,0.0630809679451175,0.0411676393567898,0.36353244127377,0.297930261439695,0.120662586721272,0.125045317334629,0.119148094607802,0.024104264441565,0.361360309434973,-0.0631524276981285,0.0245888412390807,0.332487532638069,0.174518998243959,0.0974119267761568,-0.00640514409476016,0.366678762019783,0.30086094419489,0.297797364195851,0.223735635227199,0.186377037043023,-0.639690353140738,-0.212696884472198,-0.562945244245567,-0.437981167099422,-0.23790175551753,-0.2435645122288,-0.647040606428569,-0.536053965081623,-0.53838292618027,-0.735067379529114,0.0616928306676949,-0.0540604371417176,-0.481322201869127,0.217610388487989,0.245243682515377,-0.36254298780457,0.241636753594961,0.0463886214364725,0.140113764273653,-0.119541205015292,0.162148647426947,-0.0594067611613794,-0.0039756934399846,0.116591642909744,0.149876804455104,0.103350339640089,0.411741833888877,0.333505665802945,0.13348603483261,0.27508190366609,0.0131772936884488,-0.00949055045333282,0.164541481672153,0.152098872271653,-0.29735884568616,0.35333478887086
"CSNK2A1",-0.108440968242829,-0.871400981367918,0.103645038781466,0.233567354872449,0.2747860683046,0.131902633663261,0.13239026303724,-0.0966454404960373,0.0387989898598167,0.708117161040852,0.351041117924937,0.356434286436915,0.378923767853426,0.255829426445919,0.110959279820369,0.377563668566814,-0.454558915473039,0.474378096953499,0.473997279828028,-0.0111881243194789,0.262373907821309,-0.225458379054832,0.414947249882549,0.115927430879214,-0.0174473410313611,0.220895365432721,0.0974146118090387,0.149853398432768,0.00513002788677577,-0.367257033163892,-0.0988393954328293,-0.0339243179204005,-0.0202870356476331,-0.345689129626125,-0.16107164195599,-0.0310881527991113,-0.457905585478617,0.313559898927915,-0.042421514924929,-0.00160372417892288,0.288440119458063,0.500867703550105,-0.195314310809241,0.0697271046452469,-0.242136235655833,-0.288679826970066,-0.117855645421457,0.225705019891482,0.0241070433653326,0.420406719906965,0.135923870342923,0.398245481982525,0.285536631191244,0.359849606678847,0.257991802206092,0.219224245062672,0.206897818619792,0.294969798225369,0.0541707034195691,0.251756424667323,-0.00401738646379215,-0.0406541359033323,0.112446089347734
"GRK2",-0.626806688772767,-0.523396306278503,-0.126557924130805,0.152358434592985,0.0256848022491013,-0.0473255667362472,0.236140887519723,-0.185911284961881,-0.233926073845312,0.42521037130931,0.297930261439695,0.327575341873109,-0.0215585512669062,0.0265836154190463,0.0740871639706084,0.414980332755561,-0.443121892704779,0.375068419632218,0.242839434099619,-0.0294428195826064,0.296353257972549,-0.196395840914737,0.398792537133783,0.06501603368836,-0.0123522175513463,0.28803109528896,0.0352243692127881,0.141027939115312,0.0837246087370657,-0.980488528627955,-0.130037760951816,-0.0380600942350297,0.0542435983692898,-0.766323586456392,-0.0930375066844925,0.0900841201875639,-0.448782860258611,0.135325700407763,-0.0307825927081403,-0.0182125007286269,0.210982339130345,0.134527081536328,-0.0333723133437184,-0.0938479249240983,-0.300708129891063,-0.462030535251659,-0.0448572015336744,0.10767446760434,-0.135946802855392,0.396663353543636,0.345662760328118,0.410195527077638,0.188297339903426,0.213566722988572,0.248901743870682,0.0285898286176442,0.147060151445188,0.104426861091423,0.0252230782918172,0.258458801041997,0.00871324629006393,-0.457930524208228,0.118706255701954
"GSK3A",-0.0862536239068603,-0.187843386984235,0.12380426690838,-0.317887007114907,0.059649003479642,0.146000580426698,-0.337256330837532,-0.0320349834214164,0.0322585176144585,0.471891102554437,0.536063131118075,0.405604216051128,0.276348489779345,0.351225166168867,0.176518837748061,0.284401015462632,0.715619394085509,0.470654244430277,0.187206072884931,0.364810552912347,0.105614394709056,0.138807808279166,0.357082819355108,0.313178797626771,0.355202957720556,0.329138145994014,0.370499455616627,-0.806530300680631,-0.40300537247061,-0.647680148800682,-0.528269550033003,-0.075586446647224,-0.401824311325743,-0.674805260890372,-0.0490212875203268,-0.11658745108258,-0.479789502075484,0.5598089262647,0.09692106569209,-0.507410645527518,0.7060130943218,0.478620954874365,-0.550755222444298,0.61798017718129,-0.0857342273478786,-1.38351621771255,0.319830323850175,-0.0771764239727389,-0.276103123104181,-0.0199536667630232,-0.185218161732261,-0.251125039695987,0.0848915873136061,0.490183416444489,0.0927661449817234,0.390715340479165,0.258155983105326,0.246722532955819,0.740083808840533,0.40893676681737,-0.137156454290687,0.0731981177845478,0.234723474849544
"GSK3B",0.19783825349865,0.0658700592841811,0.20411485214518,0.280189296631416,0.146738104515094,0.180146825937752,0.312961279275928,0.100143467478754,0.0872239115382298,0.444143522212122,0.154687696186856,0.204889773851871,0.418749509222196,0.240746127446235,0.399237778257438,0.248471517429062,-0.155549923752457,0.323443382423448,0.239716721743974,0.370053575011945,0.418979523104749,0.44363516196863,0.465677675277198,0.07174030670844,0.313014964450858,0.332785463398397,0.3456552862998,-0.861328933418013,-0.590558315339836,-0.961474369709877,-0.534712263346881,-0.422999703958559,-0.580488083958086,-0.819361240269775,-0.531871744362693,-0.570593836521155,-0.5195477518619,0.302296474968485,0.614879774227922,-0.919850406022566,0.312039969128022,0.209997042302551,-0.660474722973191,0.214480119273414,0.329943130396204,0.244230015794955,0.168966041116283,0.270994857462892,-0.00313396270064363,0.143901872573207,0.0687347435874286,0.400102452677293,0.15307954946559,0.456718641819271,0.204142495896577,0.32833025588907,0.466542023840715,0.202626803430979,0.408702693666855,0.331094147495214,0.241590326740166,0.147876729744966,0.294823669774197
"IKBKB",-0.484903654980126,-0.428996776629025,-0.231520116564353,-0.451082736179332,-0.261302881359231,-0.182435646565032,-0.0985868175261123,-0.0529155499708437,-0.0188337201856358,0.36353244127377,0.314688080979559,0.270835405166947,0.514353501189166,0.333522037789864,0.275051256978977,0.531853941320655,-0.157900249225681,0.357681425027696,0.242839434099619,0.00706657094364848,0.115073816931347,0.081821425765733,0.0727063319340036,0.00692975465441397,0.266821554820117,0.223735635227199,0.291222343871276,-0.0702479735674878,-0.141250233821588,-0.296516045797004,-0.0650112767758814,0.079801088058083,-0.310611084441912,-0.148534119901265,0.0573762256467407,0.061972761256546,-0.366774670290263,0.363694983780371,0.321343194572032,-0.0182125007286269,0.571182085454159,0.113118521512899,0.0435246861267606,0.353261376741744,0.113221931504051,-0.396680456246598,0.278644562089032,0.187703617256628,-0.294759230622446,0.121903356309724,0.208690975045003,-0.0285554209773133,0.188297339903426,0.174563099780934,0.0426127143170372,0.333268273694459,0.325221993881335,-0.0182558842748961,0.219772661830859,0.0920322772090004,0.0923871982219738,0.00268302933315374,0.25350271921004
"MAPK1",0.285214323556097,0.0948918972467525,0.0907103574259035,0.152358434592985,0.141562564010767,0.10927299474677,0.261540651995707,0.0711627521166971,0.0984855305290983,0.339563542077008,0.164929121255377,0.110405934370283,0.258101735637566,0.222256819198847,0.259546857522106,0.277786663680158,0.304127156173027,0.319976903588074,0.249262057938058,0.323025637248409,0.318675649897327,0.276619661728431,0.351875600172972,0.159732171500965,0.328232564705866,0.249450790171165,0.293886175420909,-0.802429220801719,-0.637482609507014,-0.768996208197015,-0.648270934058608,-0.456600191079057,-0.745534402865006,-0.771892568687718,-0.483371178197315,-0.703045254440197,-0.675323770684732,0.329372062535904,0.328553662187639,-0.609235055020312,0.336367069669101,0.233842003017085,-0.686195188794371,0.220305032168235,0.18307008911507,0.131185769991808,0.249034749518906,0.266713034266628,0.0436922452069765,0.144210658260563,0.244041613605175,0.113630370538914,0.308803107074495,0.203333940824044,0.118875119707326,0.341038718851948,0.389339282795427,0.254736760097462,0.319688870836633,0.35338961734138,0.339613842537944,0.20152053518534,0.344300393731539
"MAPK14",0.149436681748206,0.038708900777198,0.0301127300679277,0.0769009481304365,0.0261845385219263,-0.0206029823601049,0.122575794151994,0.0247262781973014,0.0287200465389711,0.323923712717623,0.227067540562192,0.153588389919897,0.246690743640469,0.265582866735794,0.259444406344228,0.232821717401394,0.199425897681741,0.263454765192478,0.287518137041776,0.283740232834269,0.27414722070639,0.183832691898307,0.272106286858005,0.156842665520662,0.294075043965722,0.199652663122752,0.249064699352392,-0.601386699002772,-0.409054013788095,-0.532069127596073,-0.433216650121041,-0.345460969600146,-0.613280272563336,-0.619484969639275,-0.267604168102978,-0.583945286692795,-0.459579336790849,0.300879808974811,0.333685851288637,-0.476450892743101,0.334839503017862,0.204565391198577,-0.639594576577327,0.229394780735228,0.302454582709387,0.0200293170887744,0.209314134411224,0.1491577154065,-0.00880005635106738,0.252072873967534,0.209717228408663,-0.0137220359608438,0.292310667775423,0.206255259347269,0.107179669743157,0.316167920453667,0.339254482824925,0.161864970117593,0.250434263721131,0.322750875255444,0.142146620220423,0.151677504672137,0.269894157635589
